,balance,equity,balance_btc,equity_btc
0,199.966760754,200.0,0.0,0.0
60,199.96198240200002,197.74853075400003,0.0,-2.218229999999977
120,199.96198240200002,199.79074240200006,0.0,-0.17123999999994588
180,199.92090237000002,197.86449240200005,0.0,-2.097489999999951
240,199.83555267000003,192.8399123700001,0.0,-7.080989999999937
300,199.83555267000003,215.5653826700002,0.0,15.729830000000158
360,221.7625561660001,203.25818267000008,0.0,3.422630000000055
420,221.7625561660001,221.7625561660001,0.0,0.0
480,221.7625561660001,221.7625561660001,0.0,0.0
540,221.7625561660001,221.7625561660001,0.0,0.0
600,221.7625561660001,221.7625561660001,0.0,0.0
660,221.7625561660001,221.7625561660001,0.0,0.0
720,221.7203936060001,221.7625561660001,0.0,0.0
780,221.7203936060001,217.69419360600008,0.0,-4.026200000000012
840,221.7203936060001,222.6363036060001,0.0,0.9159099999999931
900,221.6747929780001,219.39925360600012,0.0,-2.321139999999978
960,221.58013750800012,211.16967297800008,0.0,-10.505120000000037
1020,221.58013750800012,212.5591775080001,0.0,-9.02096000000002
1080,221.58013750800012,221.2791275080001,0.0,-0.30101000000002764
1140,221.58013750800012,213.01661750800014,0.0,-8.563519999999968
1200,221.58013750800012,211.95878750800009,0.0,-9.621350000000042
1260,221.58013750800012,197.1777575080001,0.0,-24.402380000000026
1320,221.58013750800012,209.29991750800008,0.0,-12.28022000000004
1380,212.67494893993614,196.6917275080001,0.0,-24.88841000000001
1440,212.67494893993614,207.47027803800003,0.0,-5.2046709019361215
1500,212.67494893993614,216.25823803799994,0.0,3.5832890980638155
1560,242.83822748999995,229.644118038,0.0,16.96916909806384
1620,242.83822748999995,242.83822748999995,0.0,0.0
1680,242.83822748999995,242.83822748999995,0.0,0.0
1740,242.83822748999995,242.83822748999995,0.0,0.0
1800,242.83822748999995,242.83822748999995,0.0,0.0
1860,242.83822748999995,242.83822748999995,0.0,0.0
1920,242.83822748999995,242.83822748999995,0.0,0.0
1980,242.83822748999995,242.83822748999995,0.0,0.0
2040,242.83822748999995,242.83822748999995,0.0,0.0
2100,242.83822748999995,242.83822748999995,0.0,0.0
2160,242.83822748999995,242.83822748999995,0.0,0.0
2220,242.83822748999995,242.83822748999995,0.0,0.0
2280,242.83822748999995,242.83822748999995,0.0,0.0
2340,242.79781472599996,242.83822748999995,0.0,0.0
2400,242.79781472599996,243.44573472599996,0.0,0.647919999999995
2460,242.79205565399997,241.80724472599996,0.0,-0.9905699999999933
2520,242.79205565399997,245.43238565399997,0.0,2.640329999999996
2580,242.79205565399997,248.37592565399999,0.0,5.583870000000006
2640,242.79205565399997,243.74020565399996,0.0,0.948149999999999
2700,242.79205565399997,242.51017565399997,0.0,-0.2818800000000139
2760,242.79205565399997,241.32991565399996,0.0,-1.4621399999999913
2820,242.79205565399997,239.14003565399994,0.0,-3.6520200000000154
2880,242.79205565399997,238.42903565399996,0.0,-4.363020000000001
2940,242.79205565399997,238.81297565399996,0.0,-3.979080000000011
3000,242.74217347399997,237.54028565399997,0.0,-5.2517700000000005
3060,242.74217347399997,241.42618347399983,0.0,-1.3159900000001297
3120,242.74217347399997,246.04926347399984,0.0,3.3070899999998677
3180,256.07205373399984,246.25940347399987,0.0,3.5172299999999113
3240,256.07205373399984,256.07205373399984,0.0,0.0
3300,256.07205373399984,256.07205373399984,0.0,0.0
3360,256.07205373399984,256.07205373399984,0.0,0.0
3420,256.07205373399984,256.07205373399984,0.0,0.0
3480,256.07205373399984,256.07205373399984,0.0,0.0
3540,256.07205373399984,256.07205373399984,0.0,0.0
3600,256.07205373399984,256.07205373399984,0.0,0.0
3660,256.07205373399984,256.07205373399984,0.0,0.0
3720,256.07205373399984,256.07205373399984,0.0,0.0
3780,256.07205373399984,256.07205373399984,0.0,0.0
3840,256.07205373399984,256.07205373399984,0.0,0.0
3900,256.07205373399984,256.07205373399984,0.0,0.0
3960,256.02942283399983,256.07205373399984,0.0,0.0
4020,256.02942283399983,255.30283283399984,0.0,-0.7265899999999971
4080,256.0233802519998,255.79794283399983,0.0,-0.23148000000000876
4140,263.03200502799984,257.37891025199986,0.0,1.3555300000000212
4200,262.98823228599986,263.03200502799984,0.0,0.0
4260,262.98823228599986,261.83148228599987,0.0,-1.1567499999999813
4320,262.98823228599986,260.8862522859999,0.0,-2.101979999999986
4380,262.98823228599986,259.91458228599987,0.0,-3.073649999999976
4440,262.98201399799984,260.9391322859999,0.0,-2.049099999999968
4500,262.98201399799984,261.64836399799987,0.0,-1.3336500000000022
4560,262.98201399799984,264.5324639979998,0.0,1.550449999999982
4620,262.98201399799984,265.4988639979998,0.0,2.5168499999999825
4680,262.98201399799984,264.42676399799984,0.0,1.4447500000000135
4740,270.18127282799986,268.41316399799985,0.0,5.431150000000003
4800,270.18127282799986,270.18127282799986,0.0,0.0
4860,270.18127282799986,270.18127282799986,0.0,0.0
4920,270.18127282799986,270.18127282799986,0.0,0.0
4980,270.18127282799986,270.18127282799986,0.0,0.0
5040,270.18127282799986,270.18127282799986,0.0,0.0
5100,270.18127282799986,270.18127282799986,0.0,0.0
5160,270.18127282799986,270.18127282799986,0.0,0.0
5220,270.18127282799986,270.18127282799986,0.0,0.0
5280,270.18127282799986,270.18127282799986,0.0,0.0
5340,270.18127282799986,270.18127282799986,0.0,0.0
5400,270.18127282799986,270.18127282799986,0.0,0.0
5460,270.18127282799986,270.18127282799986,0.0,0.0
5520,270.18127282799986,270.18127282799986,0.0,0.0
5580,270.18127282799986,270.18127282799986,0.0,0.0
5640,270.18127282799986,270.18127282799986,0.0,0.0
5700,270.18127282799986,270.18127282799986,0.0,0.0
5760,270.18127282799986,270.18127282799986,0.0,0.0
5820,270.18127282799986,270.18127282799986,0.0,0.0
5880,270.18127282799986,270.18127282799986,0.0,0.0
5940,270.18127282799986,270.18127282799986,0.0,0.0
6000,270.18127282799986,270.18127282799986,0.0,0.0
6060,270.18127282799986,270.18127282799986,0.0,0.0
6120,270.1363225379999,270.18127282799986,0.0,0.0
6180,270.1363225379999,271.87197253799985,0.0,1.7356499999999793
6240,270.1363225379999,268.5163825379999,0.0,-1.6199399999999893
6300,270.12992190199986,271.1838025379999,0.0,1.047479999999982
6360,270.12992190199986,265.8062419019999,0.0,-4.323679999999993
6420,270.07438803599985,265.6463919019999,0.0,-4.483529999999967
6480,270.07438803599985,274.4357880359999,0.0,4.361400000000035
6540,270.07438803599985,272.3365480359999,0.0,2.2621600000000255
6600,270.07438803599985,262.3835080359999,0.0,-7.690879999999934
6660,270.07438803599985,275.12574803599995,0.0,5.051360000000097
6720,270.07438803599985,273.1586280359999,0.0,3.0842400000000914
6780,270.07438803599985,273.46690803599995,0.0,3.3925200000001032
6840,270.07438803599985,272.29250803599984,0.0,2.218120000000024
6900,270.07438803599985,270.29602803599994,0.0,0.2216400000000874
6960,270.07438803599985,273.64306803599993,0.0,3.5686800000001098
7020,270.07438803599985,265.99478803599993,0.0,-4.0795999999999015
7080,270.07438803599985,269.81158803599993,0.0,-0.2627999999999309
7140,270.07438803599985,268.84270803599986,0.0,-1.2316799999999677
7200,270.07438803599985,273.81922803599986,0.0,3.7448400000000124
7260,270.07438803599985,279.07466803599993,0.0,9.000280000000073
7320,270.07438803599985,271.0593880359999,0.0,0.9850000000000816
7380,270.07438803599985,273.52562803599994,0.0,3.4512400000000705
7440,270.07438803599985,268.9161080359999,0.0,-1.15827999999993
7500,270.07438803599985,276.99010803599987,0.0,6.915720000000028
7560,270.07438803599985,275.1404280359999,0.0,5.066040000000062
7620,270.07438803599985,272.87970803599984,0.0,2.8053200000000116
7680,270.07438803599985,272.0869880359999,0.0,2.0126000000000857
7740,266.7792810232625,267.9031880359999,0.0,-2.1711999999999683
7800,265.3279535475441,264.51031085199986,0.0,-2.2689701712626573
7860,265.3279535475441,261.3776979219998,0.0,-3.9502556255443153
7920,265.3279535475441,273.49196792199973,0.0,8.164014374455645
7980,265.3279535475441,282.904797922,0.0,17.576844374455902
8040,303.84949259399986,283.11584792199983,0.0,17.78789437445571
8100,303.84949259399986,303.84949259399986,0.0,0.0
8160,303.79894710599984,303.84949259399986,0.0,0.0
8220,303.79894710599984,304.6129071059998,0.0,0.81395999999998
8280,303.79894710599984,304.05598710599986,0.0,0.2570400000000097
8340,303.79894710599984,302.64226710599985,0.0,-1.156679999999993
8400,303.79894710599984,300.27178710599986,0.0,-3.527159999999998
8460,303.7917121799998,300.5288271059999,0.0,-3.2701199999999884
8520,303.7917121799998,300.49650217999977,0.0,-3.2952100000000333
8580,303.7917121799998,300.67624217999975,0.0,-3.1154700000000455
8640,303.7917121799998,297.53896217999977,0.0,-6.252750000000049
8700,303.7917121799998,301.7791921799998,0.0,-2.012520000000004
8760,303.7917121799998,302.8086121799998,0.0,-0.983100000000023
8820,303.7292726519998,303.2988121799998,0.0,-0.4929000000000044
8880,303.7292726519998,296.7195626519997,0.0,-7.009710000000112
8940,303.7292726519998,305.49981265199966,0.0,1.7705399999998939
9000,303.5995659839998,297.2715626519997,0.0,-6.45771000000005
9060,303.5995659839998,308.9800159839997,0.0,5.380449999999855
9120,292.9831874204661,304.8998559839996,0.0,1.3002899999997868
9180,291.78915109506687,287.0307213039993,0.0,-5.209206506917387
9240,291.78915109506687,274.48281868399954,0.0,-17.306332411067356
9300,291.78915109506687,292.98521868399934,0.0,1.1960675889324535
9360,333.1567355539994,324.2316186839993,0.0,32.44246758893241
9420,333.1567355539994,333.1567355539994,0.0,0.0
9480,333.1567355539994,333.1567355539994,0.0,0.0
9540,333.1013410699994,333.1567355539994,0.0,0.0
9600,333.09343149399945,334.2123910699994,0.0,1.1110499999999837
9660,333.09343149399945,337.3355314939994,0.0,4.2420999999999625
9720,342.2095311859994,341.3920114939994,0.0,8.298579999999983
9780,342.2095311859994,342.2095311859994,0.0,0.0
9840,342.2095311859994,342.2095311859994,0.0,0.0
9900,342.2095311859994,342.2095311859994,0.0,0.0
9960,342.2095311859994,342.2095311859994,0.0,0.0
10020,342.2095311859994,342.2095311859994,0.0,0.0
10080,342.2095311859994,342.2095311859994,0.0,0.0
10140,342.15257064599945,342.2095311859994,0.0,0.0
10200,342.14450423799946,344.06847064599947,0.0,1.9159000000000332
10260,351.5128002479995,348.7706742379995,0.0,6.626170000000053
10320,351.5128002479995,351.5128002479995,0.0,0.0
10380,351.5128002479995,351.5128002479995,0.0,0.0
10440,351.4543398059995,351.5128002479995,0.0,0.0
10500,351.4459735919995,343.7708898059995,0.0,-7.683450000000009
10560,351.4459735919995,349.6200535919996,0.0,-1.825919999999945
10620,351.4459735919995,346.99565359199954,0.0,-4.450319999999976
10680,351.4459735919995,347.97737359199954,0.0,-3.4685999999999844
10740,351.3737109039995,344.01161359199955,0.0,-7.434359999999996
10800,351.3737109039995,340.58196090399935,0.0,-10.791750000000134
10860,351.3737109039995,338.1183609039994,0.0,-13.255350000000082
10920,351.3737109039995,337.29716090399944,0.0,-14.076550000000063
10980,351.3737109039995,343.53828090399946,0.0,-7.835430000000022
11040,351.3737109039995,341.8342909039994,0.0,-9.539420000000135
11100,351.3737109039995,351.62710090399946,0.0,0.25338999999994516
11160,351.3737109039995,351.17544090399946,0.0,-0.19827000000002337
11220,351.3737109039995,358.5251809039994,0.0,7.151469999999915
11280,351.3737109039995,353.41321090399936,0.0,2.039499999999867
11340,351.3737109039995,356.8417209039994,0.0,5.4680099999999
11400,351.3737109039995,351.3191509039994,0.0,-0.05456000000006654
11460,351.3737109039995,348.3833609039994,0.0,-2.9903500000000807
11520,351.3737109039995,352.3251209039994,0.0,0.951409999999923
11580,351.3737109039995,352.5509509039995,0.0,1.1772399999999803
11640,351.3737109039995,359.2847909039994,0.0,7.911079999999895
11700,351.3737109039995,360.7834809039994,0.0,9.409769999999904
11760,370.66801410399944,369.2418409039994,0.0,17.868129999999883
11820,370.66801410399944,370.66801410399944,0.0,0.0
11880,370.66801410399944,370.66801410399944,0.0,0.0
11940,370.66801410399944,370.66801410399944,0.0,0.0
12000,370.66801410399944,370.66801410399944,0.0,0.0
12060,370.66801410399944,370.66801410399944,0.0,0.0
12120,370.66801410399944,370.66801410399944,0.0,0.0
12180,370.66801410399944,370.66801410399944,0.0,0.0
12240,370.66801410399944,370.66801410399944,0.0,0.0
12300,370.66801410399944,370.66801410399944,0.0,0.0
12360,370.66801410399944,370.66801410399944,0.0,0.0
12420,370.66801410399944,370.66801410399944,0.0,0.0
12480,370.66801410399944,370.66801410399944,0.0,0.0
12540,370.66801410399944,370.66801410399944,0.0,0.0
12600,370.66801410399944,370.66801410399944,0.0,0.0
12660,370.66801410399944,370.66801410399944,0.0,0.0
12720,370.66801410399944,370.66801410399944,0.0,0.0
12780,370.66801410399944,370.66801410399944,0.0,0.0
12840,370.66801410399944,370.66801410399944,0.0,0.0
12900,370.66801410399944,370.66801410399944,0.0,0.0
12960,370.66801410399944,370.66801410399944,0.0,0.0
13020,370.66801410399944,370.66801410399944,0.0,0.0
13080,370.66801410399944,370.66801410399944,0.0,0.0
13140,370.66801410399944,370.66801410399944,0.0,0.0
13200,370.66801410399944,370.66801410399944,0.0,0.0
13260,370.66801410399944,370.66801410399944,0.0,0.0
13320,370.66801410399944,370.66801410399944,0.0,0.0
13380,370.66801410399944,370.66801410399944,0.0,0.0
13440,370.66801410399944,370.66801410399944,0.0,0.0
13500,370.66801410399944,370.66801410399944,0.0,0.0
13560,370.66801410399944,370.66801410399944,0.0,0.0
13620,370.66801410399944,370.66801410399944,0.0,0.0
13680,370.6063637039994,370.66801410399944,0.0,0.0
13740,370.6063637039994,370.38836370399946,0.0,-0.21799999999998762
13800,370.6063637039994,366.37716370399943,0.0,-4.229199999999995
13860,370.6063637039994,366.96140370399945,0.0,-3.644959999999994
13920,370.59752770399945,370.0308437039994,0.0,-0.5755200000000219
13980,370.59752770399945,370.84430770399945,0.0,0.2467800000000196
14040,370.59752770399945,369.57811770399945,0.0,-1.0194100000000048
14100,370.59752770399945,367.5542077039994,0.0,-3.0433200000000347
14160,370.59752770399945,367.16537770399947,0.0,-3.4321499999999783
14220,370.59752770399945,367.3548077039994,0.0,-3.242719999999995
14280,370.59752770399945,367.71372770399944,0.0,-2.8837999999999813
14340,380.75174595399943,370.07661770399943,0.0,-0.5209100000000332
14400,380.75174595399943,380.75174595399943,0.0,0.0
14460,380.75174595399943,380.75174595399943,0.0,0.0
14520,380.75174595399943,380.75174595399943,0.0,0.0
14580,380.75174595399943,380.75174595399943,0.0,0.0
14640,380.75174595399943,380.75174595399943,0.0,0.0
14700,380.75174595399943,380.75174595399943,0.0,0.0
14760,380.75174595399943,380.75174595399943,0.0,0.0
14820,380.75174595399943,380.75174595399943,0.0,0.0
14880,380.75174595399943,380.75174595399943,0.0,0.0
14940,380.75174595399943,380.75174595399943,0.0,0.0
15000,380.75174595399943,380.75174595399943,0.0,0.0
15060,380.75174595399943,380.75174595399943,0.0,0.0
15120,380.75174595399943,380.75174595399943,0.0,0.0
15180,380.75174595399943,380.75174595399943,0.0,0.0
15240,380.75174595399943,380.75174595399943,0.0,0.0
15300,380.75174595399943,380.75174595399943,0.0,0.0
15360,380.75174595399943,380.75174595399943,0.0,0.0
15420,380.75174595399943,380.75174595399943,0.0,0.0
15480,380.75174595399943,380.75174595399943,0.0,0.0
15540,380.75174595399943,380.75174595399943,0.0,0.0
15600,380.75174595399943,380.75174595399943,0.0,0.0
15660,380.75174595399943,380.75174595399943,0.0,0.0
15720,380.75174595399943,380.75174595399943,0.0,0.0
15780,380.75174595399943,380.75174595399943,0.0,0.0
15840,380.75174595399943,380.75174595399943,0.0,0.0
15900,380.75174595399943,380.75174595399943,0.0,0.0
15960,380.75174595399943,380.75174595399943,0.0,0.0
16020,380.75174595399943,380.75174595399943,0.0,0.0
16080,380.68837480199943,380.75174595399943,0.0,0.0
16140,380.6793630579994,382.82165480199944,0.0,2.1332800000000054
16200,380.6793630579994,382.5278430579994,0.0,1.8484799999999837
16260,380.6793630579994,381.72880305799936,0.0,1.0494399999999748
16320,391.10659981799944,385.7149230579994,0.0,5.035559999999975
16380,391.10659981799944,391.10659981799944,0.0,0.0
16440,391.10659981799944,391.10659981799944,0.0,0.0
16500,391.10659981799944,391.10659981799944,0.0,0.0
16560,391.10659981799944,391.10659981799944,0.0,0.0
16620,391.10659981799944,391.10659981799944,0.0,0.0
16680,391.10659981799944,391.10659981799944,0.0,0.0
16740,391.0322302519994,391.10659981799944,0.0,0.0
16800,391.0322302519994,392.8774702519994,0.0,1.8452399999999665
16860,391.0322302519994,396.6778002519994,0.0,5.645569999999939
16920,391.0322302519994,395.92499025199936,0.0,4.892759999999953
16980,401.74396303399936,400.0609102519994,0.0,9.028679999999982
17040,401.74396303399936,401.74396303399936,0.0,0.0
17100,401.74396303399936,401.74396303399936,0.0,0.0
17160,401.74396303399936,401.74396303399936,0.0,0.0
17220,401.67711204199935,401.74396303399936,0.0,0.0
17280,401.67711204199935,402.45699204199934,0.0,0.7798800000000105
17340,401.67711204199935,400.0289120419994,0.0,-1.6481999999999861
17400,412.65609800199945,404.4911120419994,0.0,2.814000000000011
17460,412.65609800199945,412.65609800199945,0.0,0.0
17520,412.65609800199945,412.65609800199945,0.0,0.0
17580,412.65609800199945,412.65609800199945,0.0,0.0
17640,412.65609800199945,412.65609800199945,0.0,0.0
17700,412.5874742579995,412.65609800199945,0.0,0.0
17760,412.5874742579995,414.5849942579995,0.0,1.9975200000000177
17820,412.5874742579995,416.55003425799947,0.0,3.962559999999996
17880,412.5874742579995,414.3251542579995,0.0,1.7376799999999888
17940,412.5874742579995,412.0840342579995,0.0,-0.5034399999999806
18000,412.57769937399945,402.3562742579995,0.0,-10.231199999999983
18060,412.57769937399945,407.4645593739995,0.0,-5.1131399999999125
18120,412.4929465299995,404.1909593739995,0.0,-8.386739999999948
18180,412.4929465299995,397.65478652999957,0.0,-14.838159999999899
18240,412.4929465299995,413.7006665299996,0.0,1.2077200000001052
18300,412.4929465299995,409.6744665299996,0.0,-2.8184799999998615
18360,412.4929465299995,416.8627065299996,0.0,4.369760000000132
18420,412.4929465299995,424.69906652999947,0.0,12.206120000000011
18480,412.4929465299995,415.33078652999956,0.0,2.837840000000074
18540,412.4929465299995,414.60410652999957,0.0,2.1111600000000927
18600,412.4929465299995,415.6450265299995,0.0,3.1520800000000393
18660,412.4929465299995,411.0689065299996,0.0,-1.4240399999999016
18720,412.31697926599946,399.36346652999947,0.0,-13.129479999999974
18780,412.31697926599946,393.2724592659992,0.0,-19.044520000000276
18840,412.31697926599946,412.18277926599933,0.0,-0.13420000000014837
18900,457.5294683859992,429.18547926599916,0.0,16.86849999999971
18960,457.5294683859992,457.5294683859992,0.0,0.0
19020,457.5294683859992,457.5294683859992,0.0,0.0
19080,457.5294683859992,457.5294683859992,0.0,0.0
19140,457.5294683859992,457.5294683859992,0.0,0.0
19200,457.5294683859992,457.5294683859992,0.0,0.0
19260,457.4424961719992,457.5294683859992,0.0,0.0
19320,457.4424961719992,454.22334617199925,0.0,-3.219149999999941
19380,457.3484797919992,453.0400261719992,0.0,-4.402469999999986
19440,457.3484797919992,440.36278979199926,0.0,-16.98568999999989
19500,441.9759413646596,453.40518979199925,0.0,-3.943289999999916
19560,437.4283193077436,352.8861796919998,0.0,-89.08976167265982
19620,420.65604490438824,311.4470289679999,0.0,-125.98129033974371
19680,407.1656294833823,392.5148274299998,0.0,-28.14121747438846
19740,426.1949463072925,432.2763376259999,0.0,25.11070814261756
19800,464.3761401679998,443.1058434599997,0.0,16.910897152707168
19860,464.2989063679998,464.3761401679998,0.0,0.0
19920,464.2989063679998,464.0007063679998,0.0,-0.2982000000000113
19980,476.99176548399976,464.80584636799983,0.0,0.5069400000000192
20040,476.99176548399976,476.99176548399976,0.0,0.0
20100,476.99176548399976,476.99176548399976,0.0,0.0
20160,476.99176548399976,476.99176548399976,0.0,0.0
20220,476.99176548399976,476.99176548399976,0.0,0.0
20280,476.99176548399976,476.99176548399976,0.0,0.0
20340,476.91244284399977,476.99176548399976,0.0,0.0
20400,489.95144281999984,474.4099928439998,0.0,-2.502449999999952
20460,489.95144281999984,489.95144281999984,0.0,0.0
20520,489.95144281999984,489.95144281999984,0.0,0.0
20580,489.95144281999984,489.95144281999984,0.0,0.0
20640,489.85831904399987,489.95144281999984,0.0,0.0
20700,489.85831904399987,494.70009904399996,0.0,4.841780000000073
20760,503.27769222799986,500.87223904399985,0.0,11.013920000000004
20820,503.27769222799986,503.27769222799986,0.0,0.0
20880,503.27769222799986,503.27769222799986,0.0,0.0
20940,503.27769222799986,503.27769222799986,0.0,0.0
21000,503.27769222799986,503.27769222799986,0.0,0.0
21060,503.27769222799986,503.27769222799986,0.0,0.0
21120,503.27769222799986,503.27769222799986,0.0,0.0
21180,503.27769222799986,503.27769222799986,0.0,0.0
21240,503.27769222799986,503.27769222799986,0.0,0.0
21300,503.27769222799986,503.27769222799986,0.0,0.0
21360,503.27769222799986,503.27769222799986,0.0,0.0
21420,503.27769222799986,503.27769222799986,0.0,0.0
21480,503.27769222799986,503.27769222799986,0.0,0.0
21540,503.27769222799986,503.27769222799986,0.0,0.0
21600,503.19393802399986,503.27769222799986,0.0,0.0
21660,503.19393802399986,502.42861802399983,0.0,-0.7653200000000052
21720,503.19393802399986,495.82269802399986,0.0,-7.371239999999993
21780,503.18201367199987,499.2162880239999,0.0,-3.97764999999996
21840,503.18201367199987,502.4081936719998,0.0,-0.7738200000000387
21900,503.0785563919999,493.59153367199974,0.0,-9.5904800000001
21960,502.8637057339999,488.40511639199985,0.0,-14.673440000000042
22020,502.8637057339999,502.29261573400004,0.0,-0.5710899999998666
22080,502.8637057339999,469.33233573399986,0.0,-33.531370000000024
22140,478.26104539590295,470.87253573399994,0.0,-31.991169999999965
22200,478.26104539590295,450.0775381579997,0.0,-28.183507237903235
22260,478.26104539590295,493.5489181579995,0.0,15.287872762096521
22320,478.26104539590295,506.7099781579995,0.0,28.448932762096547
22380,478.26104539590295,516.6140081579996,0.0,38.35296276209661
22440,546.6759868739995,523.9257081579996,0.0,45.66466276209657
22500,546.6759868739995,546.6759868739995,0.0,0.0
22560,546.6759868739995,546.6759868739995,0.0,0.0
22620,546.6759868739995,546.6759868739995,0.0,0.0
22680,546.5850103799995,546.6759868739995,0.0,0.0
22740,561.5415577519996,550.8979903799996,0.0,4.312980000000001
22800,561.5415577519996,561.5415577519996,0.0,0.0
22860,561.5415577519996,561.5415577519996,0.0,0.0
22920,561.4481593279995,561.5415577519996,0.0,0.0
22980,561.4481593279995,561.6118193279996,0.0,0.1636600000000339
23040,561.4481593279995,564.4758693279995,0.0,3.027710000000004
23100,561.4481593279995,563.6575693279996,0.0,2.2094100000000005
23160,561.4481593279995,563.9264393279994,0.0,2.4782799999999554
23220,561.4348098379995,562.8509593279995,0.0,1.40279999999997
23280,561.4348098379995,567.4182998379996,0.0,5.983490000000021
23340,576.8065356099995,576.0626198379995,0.0,14.627809999999968
23400,576.8065356099995,576.8065356099995,0.0,0.0
23460,576.8065356099995,576.8065356099995,0.0,0.0
23520,576.8065356099995,576.8065356099995,0.0,0.0
23580,576.8065356099995,576.8065356099995,0.0,0.0
23640,576.7105594659995,576.8065356099995,0.0,0.0
23700,576.6968741499995,577.1144794659995,0.0,0.4039199999999872
23760,576.6968741499995,581.4463741499995,0.0,4.749500000000068
23820,576.6968741499995,586.5818241499995,0.0,9.884950000000037
23880,576.6968741499995,587.7064741499995,0.0,11.009600000000017
23940,592.4987297499996,580.1862241499996,0.0,3.48935000000002
24000,592.4987297499996,592.4987297499996,0.0,0.0
24060,592.4987297499996,592.4987297499996,0.0,0.0
24120,592.4987297499996,592.4987297499996,0.0,0.0
24180,592.4987297499996,592.4987297499996,0.0,0.0
24240,592.4987297499996,592.4987297499996,0.0,0.0
24300,592.4987297499996,592.4987297499996,0.0,0.0
24360,592.4987297499996,592.4987297499996,0.0,0.0
24420,592.4987297499996,592.4987297499996,0.0,0.0
24480,592.4001757179996,592.4987297499996,0.0,0.0
24540,606.6548304699995,604.3102357179996,0.0,11.910060000000017
24600,606.6548304699995,606.6548304699995,0.0,0.0
24660,606.6548304699995,606.6548304699995,0.0,0.0
24720,606.6548304699995,606.6548304699995,0.0,0.0
24780,606.6548304699995,606.6548304699995,0.0,0.0
24840,606.6548304699995,606.6548304699995,0.0,0.0
24900,606.6548304699995,606.6548304699995,0.0,0.0
24960,606.6548304699995,606.6548304699995,0.0,0.0
25020,606.5539319579996,606.6548304699995,0.0,0.0
25080,606.5539319579996,610.1117719579996,0.0,3.5578399999999992
25140,606.5539319579996,605.4213719579996,0.0,-1.1325599999999616
25200,606.5394774399996,602.1380919579996,0.0,-4.4158399999999505
25260,608.5549619615254,592.2326574399996,0.0,-14.306819999999986
25320,667.6140191941631,626.0130027319993,0.0,17.458040770473957
25380,667.6140191941631,681.9673991779991,0.0,14.353379983836064
25440,695.1590911279992,671.2026491779992,0.0,3.588629983836041
25500,695.1590911279992,695.1590911279992,0.0,0.0
25560,695.1590911279992,695.1590911279992,0.0,0.0
25620,695.0434627759992,695.1590911279992,0.0,0.0
25680,695.0434627759992,695.2341427759992,0.0,0.19068000000003948
25740,695.0434627759992,695.0298427759992,0.0,-0.013619999999968256
25800,695.0434627759992,689.3230627759991,0.0,-5.720400000000023
25860,695.0434627759992,674.0822827759991,0.0,-20.96118000000002
25920,695.0434627759992,670.9769227759991,0.0,-24.06654000000004
25980,695.0434627759992,665.6515027759991,0.0,-29.391960000000015
26040,695.0434627759992,669.8328427759992,0.0,-25.210619999999984
26100,694.8864144759992,664.6708627759992,0.0,-30.372599999999956
26160,694.5922269199992,669.7951144759995,0.0,-25.0912999999997
26220,687.4521765562946,605.3672269199993,0.0,-89.22499999999995
26280,652.5446837380323,634.4229216079989,0.0,-53.0292549482957
26340,652.5446837380323,641.000135211999,0.0,-11.544548526033322
26400,745.7145104139994,620.1887752119993,0.0,-32.355908526033026
26460,745.7145104139994,745.7145104139994,0.0,0.0
26520,745.5904635599994,745.7145104139994,0.0,0.0
26580,745.5727613739995,747.7059135599994,0.0,2.115449999999969
26640,745.5727613739995,755.0292613739994,0.0,9.456499999999924
